ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
000,-,Control,153.1643721,178.88,192.88,148.6618538,133.23,130.44,151.49,157.79,107.28,112.21,85.63218456,141.04,156.7687861,127.1,141.07,157.16,134.22,171.44,147.24,110.78,146.88,139.3138864,178.4581411,170.36,162.8528023,141.04,154.95,120.9448033,124.73,135.9,160.36,147,143.94,92.17,164.59,135.5225585,135.22,186.91,119.26,177.46,137,147.66,119.14,121.46,94.65354549,130.66,171.0028608,131.45,138.66,153.81,185.31,151.3
001,Polysaccharides,KULFFI-1,151.7084199,176.27,193.89,149.1561257,135.86,112.18,153.97,157.92,91.92,114.58,87.51186519,141.43,156.3855626,123.22,142.56,150.02,132.68,172.51,148.68,105.82,143.05,126.1555895,181.1047921,170.57,152.1691625,136.28,153.8,123.2550408,127.46,136.22,165.82,144.64,147.01,77.92,161.14,133.9085601,137.54,185.8,130.3,174.92,140.56,148.94,125.36,129.13,94.67232736,124.25,174.9688095,133.2,138,153.35,190.52,146.94
002,Polysaccharides,KULFFI-2,152.4394856,170.66,193.64,147.4683386,137.51,125.66,151.86,153.29,102.6,113.82,87.70091313,143.49,156.2568138,125.29,140.42,155.03,126.57,172.45,141.32,106.18,145.39,143.5312117,179.5820436,172.53,155.4234771,135.44,154.13,121.1931496,125.5,136.11,168.5,146.88,144.56,77.26,157.31,133.8879044,139.16,180.88,124.32,175.97,137.6,147.69,120.21,120.62,97.14580565,120.12,174.9791054,130.56,138.6,153.51,184.4,149.97
003,Polysaccharides,KULFFI-3,153.2066651,176.72,198.08,149.5853549,134.51,114.08,149.14,158.59,118.02,125.97,101.6196536,146.61,163.4683958,127.05,145.38,153.23,129.69,170.5,151.17,105.25,164.64,128.9298012,182.5292009,168.92,150.0291874,130.87,167.93,140.7798031,142.04,133.43,166.53,144.42,148.57,75.15,174.53,142.1934232,129.36,185.11,143.68,184.05,150.08,154.39,118.45,131.88,112.5060406,124.43,171.8560209,132.28,121.87,161.93,179.29,152.3
004,Polysaccharides,KULFFI-4,148.897305,169.14,188.82,151.0011327,127.21,131.35,150.23,160.49,107.05,113.95,88.44070162,141.72,153.5995319,123.4,139.02,154.34,138.58,167.28,143.44,102.92,138.25,126.2691529,172.6764622,168.93,151.7952081,128,156.84,123.7358424,123.58,132.54,169.3,146.6,145.04,74.15,158.04,136.0390796,135.53,181.35,135.77,180.28,135.73,142.01,112.35,119.44,93.22119523,118.53,174.4490581,126.17,135.87,153.01,184.5,144.66
005,Polysaccharides,KULFFI-5,149.0353067,177.16,196.4,150.835134,135.67,151.55,158.62,160.81,114.64,128.52,96.18825005,148.51,154.9811426,132.16,148.25,157.52,143.31,164.79,155.76,100.77,159.11,127.8287851,178.9839189,164.48,151.0713231,137.41,174.04,126.6190755,130.44,141.89,168.24,141.56,135.65,81.57,149.46,133.7900824,126.55,172.09,127.94,175.43,143.08,152.22,112.94,129.42,99.51272017,120.81,171.7332329,125.22,131.64,152.7,178.98,143.47
006,Polysaccharides,KULFFI-6,151.3092449,169.8,196.83,137.5291629,130.12,125.33,138.32,155.47,95.84,111.51,85.38613518,130.09,156.7031064,125.11,151.78,145.83,137.9,157.83,140.8,101.88,166.83,115.687352,194.7409362,170.85,138.6852864,131.47,170.59,126.8583599,138.14,106.18,161.41,148.61,137.78,80.78,154.61,129.4332998,130.01,171.53,149.34,174.43,122.64,138.39,116.62,100.23,103.0164037,118.52,161.6777142,120.68,110.51,153,177.66,127.04
007,Polysaccharides,KULFFI-7,148.7560078,161.74,192.81,146.9767269,134.93,138.68,152.75,150.48,121.42,113.77,92.13896061,142.83,146.7739215,116.82,137.37,142.64,139.58,156.75,133.16,103.23,140.98,124.2468238,171.7664233,162.84,140.7813058,143.38,168.91,118.5482816,128.05,153.29,161.01,133.26,133.38,81.03,149.62,134.4392413,132.72,161.92,125.45,168.24,126.58,141.59,116.1,122.29,98.75065602,120.39,163.5570306,116.4,132.89,140.64,161.33,137.9
008,Polysaccharides,Resistant starch,147.6198625,169.11,188.9,139.768816,126.17,130.45,138.29,158.26,87.54,107.86,81.84685144,120.52,151.8474764,123.43,160.65,132.31,124.11,164.71,140.4,125.13,159.26,120.014019,168.531756,160.16,152.0860029,139.41,169.99,128.3961106,141.7,108.21,164.28,135.43,141.88,93.3,137.79,129.5865933,125.84,168.68,139.7,180.44,130.77,137.02,110.98,123.18,98.05719229,112.12,176.7513955,119.62,114.03,138.39,183.49,124.97
009,Polysaccharides,KULFFI-9,139.1990134,161.21,186.54,125.8121511,107.3,127.85,138.43,140.47,98.07,116.06,81.1985113,128.3,149.0466059,114.08,153.36,135.96,123.88,156.92,139.07,103.84,138.15,97.41082156,177.0281005,154.7,133.0325419,135.28,163.17,125.8721981,137.32,70.44,150.02,145.57,142.51,95.94,146.17,116.3406075,130.29,173.61,132.95,173.27,114.28,140.4,126.73,38.96,86.22155403,118.3,157.89671,129.04,105.9,133.35,174.78,125.59
