ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
000,-,Control,5.58.E+06,8.68.E+06,3.65.E+07,3.67.E+07,1.17.E+07,7.52.E+06,Undetermined,Undetermined,1.22.E+06,3.17.E+06,4.13.E+07,2.79.E+06,2.12.E+06,2.30.E+06,1.30.E+06,Undetermined,4.10.E+05,7.58.E+05,1.15.E+05,Undetermined,1.04.E+05,5.96.E+04,1.45.E+05,1.60.E+05,9.57.E+06,1.35.E+06,Undetermined,Undetermined,4.71.E+06,4.28.E+05,2.63.E+07,Undetermined,Undetermined,2.18.E+05,4.74.E+05,Undetermined,5.19.E+06,2.32.E+05,3.34.E+06,Undetermined,Undetermined,6.69.E+05,Undetermined,Undetermined,3.92.E+04,Undetermined,3.75.E+05,Undetermined,Undetermined,1.24.E+06,1.21.E+05,1.10.E+05
001,Polysaccharides,KULFFI-1,,,,,,,,,,,,,,,,,,,,,,,,,,1.84.E+06,Undetermined,Undetermined,5.91.E+06,7.69.E+05,3.09.E+07,Undetermined,#VALUE!,6.99.E+04,4.59.E+05,#VALUE!,5.52.E+06,2.12.E+05,3.48.E+06,Undetermined,0.00.E+00,7.10.E+05,Undetermined,0.00.E+00,Undetermined,Undetermined,5.21.E+05,Undetermined,#VALUE!,1.51.E+06,7.60.E+04,1.93.E+05
002,Polysaccharides,KULFFI-2,,,,,,,,,,,,,,,,,,,,,,,,,,1.47.E+06,Undetermined,Undetermined,4.80.E+06,4.81.E+05,2.69.E+07,Undetermined,#VALUE!,Undetermined,5.22.E+05,#VALUE!,5.66.E+06,2.09.E+05,4.11.E+06,Undetermined,0.00.E+00,7.01.E+05,#VALUE!,0.00.E+00,Undetermined,#VALUE!,4.20.E+05,Undetermined,#VALUE!,1.24.E+06,1.61.E+05,1.77.E+05
003,Polysaccharides,KULFFI-3,,,,,,,,,,,,,,,,,,,,,,,,,,5.82.E+06,Undetermined,Undetermined,5.58.E+06,1.20.E+06,2.80.E+07,Undetermined,Undetermined,4.89.E+04,1.26.E+06,Undetermined,5.60.E+06,4.39.E+05,4.24.E+06,Undetermined,0.00.E+00,8.93.E+05,Undetermined,0.00.E+00,Undetermined,#VALUE!,3.51.E+05,Undetermined,#VALUE!,1.09.E+06,8.28.E+04,3.06.E+05
004,Polysaccharides,KULFFI-4,,,,,,,,,,,,,,,,,,,,,,,,,,2.51.E+06,Undetermined,Undetermined,6.23.E+06,5.26.E+05,2.38.E+07,Undetermined,Undetermined,4.90.E+04,3.88.E+05,Undetermined,4.93.E+06,2.48.E+05,3.26.E+06,Undetermined,0.00.E+00,5.56.E+05,#VALUE!,0.00.E+00,Undetermined,Undetermined,1.43.E+05,Undetermined,Undetermined,1.31.E+06,6.45.E+04,2.07.E+05
005,Polysaccharides,KULFFI-5,,,,,,,,,,,,,,,,,,,,,,,,,,3.35.E+06,Undetermined,Undetermined,4.69.E+06,8.54.E+05,2.60.E+07,Undetermined,Undetermined,4.50.E+04,4.46.E+05,Undetermined,4.53.E+06,3.72.E+05,5.20.E+06,Undetermined,0.00.E+00,8.43.E+05,#VALUE!,0.00.E+00,Undetermined,Undetermined,3.06.E+05,Undetermined,Undetermined,1.13.E+06,1.18.E+05,2.66.E+05
006,Polysaccharides,KULFFI-6,,,,,,,,,,,,,,,,,,,,,,,,,,6.14.E+06,Undetermined,Undetermined,4.45.E+06,1.56.E+06,2.62.E+07,Undetermined,Undetermined,4.26.E+04,1.22.E+06,Undetermined,5.24.E+06,5.37.E+05,4.34.E+06,Undetermined,0.00.E+00,5.25.E+05,Undetermined,0.00.E+00,Undetermined,Undetermined,3.87.E+05,Undetermined,#VALUE!,1.23.E+06,9.22.E+04,3.18.E+05
007,Polysaccharides,KULFFI-7,,,,,,,,,,,,,,,,,,,,,,,,,,1.99.E+06,Undetermined,Undetermined,8.99.E+04,5.44.E+05,1.73.E+07,Undetermined,Undetermined,Undetermined,9.49.E+05,Undetermined,5.11.E+06,2.62.E+05,5.27.E+06,Undetermined,0.00.E+00,2.03.E+05,Undetermined,0.00.E+00,Undetermined,Undetermined,7.55.E+04,Undetermined,Undetermined,6.32.E+05,5.05.E+04,5.94.E+04
008,Polysaccharides,Resistant starch,2.95.E+06,1.61.E+06,5.81.E+06,7.23.E+06,8.91.E+06,Undetermined,Undetermined,1.51.E+06,Undetermined,Undetermined,Undetermined,6.12.E+06,9.07.E+05,2.61.E+06,4.55.E+05,Undetermined,Undetermined,3.93.E+05,1.12.E+05,1.66.E+05,Undetermined,Undetermined,Undetermined,Undetermined,1.90.E+07,1.76.E+06,Undetermined,Undetermined,4.70.E+06,1.81.E+06,2.39.E+07,Undetermined,Undetermined,3.80.E+04,1.42.E+06,Undetermined,5.78.E+06,4.84.E+05,4.45.E+06,Undetermined,0.00.E+00,7.68.E+05,#VALUE!,0.00.E+00,Undetermined,Undetermined,4.87.E+05,Undetermined,Undetermined,1.23.E+06,1.69.E+05,3.19.E+05
009,Polysaccharides,KULFFI-9,,,,,,,,,,,,,,,,,,,,,,,,,,6.32.E+06,Undetermined,Undetermined,5.90.E+06,2.99.E+06,2.97.E+07,Undetermined,Undetermined,5.27.E+04,2.44.E+06,Undetermined,5.90.E+06,5.39.E+05,3.88.E+06,Undetermined,0.00.E+00,1.07.E+06,Undetermined,0.00.E+00,Undetermined,Undetermined,3.74.E+05,Undetermined,Undetermined,1.38.E+06,9.25.E+04,4.05.E+05
