ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
000,-,Control,1.34.E+09,3.28.E+08,6.16.E+08,1.03.E+09,7.41.E+08,4.54.E+08,5.23.E+08,3.49.E+08,3.00.E+08,2.99.E+08,3.62.E+08,4.95.E+08,5.55.E+08,6.58.E+08,1.12.E+09,7.02.E+08,8.67.E+08,9.35.E+08,4.92.E+08,2.77.E+08,7.94.E+08,6.66.E+08,9.25.E+08,2.00.E+08,6.50.E+08,9.18.E+08,7.22.E+08,1.43.E+08,4.77.E+08,3.46.E+08,5.12.E+08,8.75.E+08,6.18.E+08,2.11.E+08,4.76.E+08,5.81.E+08,4.68.E+08,5.11.E+08,5.34.E+08,3.70.E+08,4.50.E+08,4.12.E+08,2.19.E+08,6.96.E+08,5.09.E+08,8.44.E+08,7.52.E+08,1.05.E+09,6.89.E+08,6.71.E+08,1.23.E+09,4.20.E+08
001,Polysaccharides,KULFFI-1,1.26.E+09,2.57.E+08,7.94.E+08,1.27.E+09,6.34.E+08,4.56.E+08,5.37.E+08,4.41.E+08,3.61.E+08,3.31.E+08,3.61.E+08,4.19.E+08,4.49.E+08,5.86.E+08,1.02.E+09,5.24.E+08,9.56.E+08,7.43.E+08,4.87.E+08,2.68.E+08,3.13.E+08,3.85.E+08,3.85.E+08,2.11.E+08,6.51.E+08,8.82.E+08,8.70.E+08,1.13.E+08,5.29.E+08,4.62.E+08,5.98.E+08,9.28.E+08,5.96.E+08,2.00.E+08,4.20.E+08,6.31.E+08,4.96.E+08,4.25.E+08,5.36.E+08,3.12.E+08,3.77.E+08,3.84.E+08,2.06.E+08,5.88.E+08,5.36.E+08,6.84.E+08,8.99.E+08,1.04.E+09,5.60.E+08,7.16.E+08,1.04.E+09,3.74.E+08
002,Polysaccharides,KULFFI-2,1.50.E+09,2.50.E+08,6.05.E+08,1.05.E+09,9.77.E+08,3.78.E+08,4.67.E+08,2.66.E+08,2.95.E+08,3.95.E+08,2.99.E+08,4.16.E+08,4.44.E+08,4.74.E+08,1.00.E+09,5.24.E+08,8.34.E+08,5.46.E+08,3.02.E+08,1.83.E+08,4.76.E+08,4.27.E+08,5.03.E+08,1.63.E+08,5.48.E+08,8.59.E+08,5.75.E+08,1.55.E+08,4.72.E+08,3.81.E+08,4.76.E+08,8.05.E+08,4.94.E+08,1.79.E+08,3.61.E+08,5.78.E+08,4.22.E+08,4.25.E+08,4.93.E+08,3.59.E+08,3.72.E+08,3.48.E+08,1.93.E+08,4.82.E+08,4.59.E+08,6.82.E+08,7.20.E+08,9.29.E+08,4.87.E+08,6.05.E+08,1.02.E+09,3.45.E+08
003,Polysaccharides,KULFFI-3,2.01.E+09,3.52.E+08,6.83.E+08,1.27.E+09,1.22.E+09,3.91.E+08,6.76.E+08,2.85.E+08,3.59.E+08,4.64.E+08,5.31.E+08,5.80.E+08,5.22.E+08,1.25.E+09,1.45.E+09,5.36.E+08,1.52.E+09,9.03.E+08,3.97.E+08,2.41.E+08,8.78.E+08,6.10.E+08,8.86.E+08,3.15.E+08,1.09.E+09,1.28.E+09,1.26.E+09,3.00.E+08,7.09.E+08,3.61.E+08,9.19.E+08,1.09.E+09,7.99.E+08,1.67.E+08,5.27.E+08,5.11.E+08,4.58.E+08,7.96.E+08,7.00.E+08,3.86.E+08,3.19.E+08,3.75.E+08,2.32.E+08,9.09.E+08,5.99.E+08,8.95.E+08,1.01.E+09,9.79.E+08,8.12.E+08,7.71.E+08,1.54.E+09,3.96.E+08
004,Polysaccharides,KULFFI-4,1.28.E+09,3.08.E+08,7.92.E+08,9.07.E+08,7.68.E+08,4.40.E+08,4.16.E+08,2.19.E+08,2.99.E+08,3.13.E+08,3.32.E+08,4.36.E+08,3.86.E+08,5.79.E+08,9.16.E+08,3.38.E+08,9.51.E+08,9.11.E+08,5.26.E+08,2.72.E+08,8.09.E+08,6.95.E+08,1.22.E+09,1.80.E+08,5.19.E+08,6.86.E+08,7.52.E+08,1.35.E+08,3.80.E+08,3.56.E+08,4.41.E+08,6.28.E+08,5.11.E+08,1.76.E+08,1.77.E+08,4.67.E+08,3.91.E+08,5.07.E+08,4.39.E+08,3.24.E+08,2.21.E+08,3.76.E+08,1.85.E+08,7.27.E+08,4.48.E+08,4.29.E+08,3.75.E+08,8.02.E+08,6.03.E+08,8.12.E+08,1.16.E+09,4.86.E+08
005,Polysaccharides,KULFFI-5,1.94.E+09,2.90.E+08,7.45.E+08,1.01.E+09,1.08.E+09,4.40.E+08,6.04.E+08,5.07.E+08,4.29.E+08,3.49.E+08,4.46.E+08,7.26.E+08,5.70.E+08,8.96.E+08,1.19.E+09,6.29.E+08,1.15.E+09,1.31.E+09,6.07.E+08,2.03.E+08,8.73.E+08,5.64.E+08,6.95.E+08,2.64.E+08,7.49.E+08,1.00.E+09,1.06.E+09,2.40.E+08,4.57.E+08,2.92.E+08,7.06.E+08,8.65.E+08,7.04.E+08,1.31.E+08,4.01.E+08,4.86.E+08,3.87.E+08,5.99.E+08,6.51.E+08,3.59.E+08,3.96.E+08,2.93.E+08,1.71.E+08,7.74.E+08,6.25.E+08,1.01.E+09,1.27.E+09,1.16.E+09,6.34.E+08,9.02.E+08,1.23.E+09,5.49.E+08
006,Polysaccharides,KULFFI-6,2.84.E+09,3.49.E+08,8.19.E+08,1.38.E+09,1.24.E+09,5.13.E+08,5.58.E+08,6.84.E+08,7.58.E+08,7.49.E+08,9.11.E+08,5.92.E+08,5.67.E+08,8.33.E+08,1.59.E+09,7.04.E+08,1.63.E+09,1.45.E+09,3.19.E+08,2.75.E+07,5.46.E+08,3.74.E+08,7.58.E+08,3.66.E+08,8.56.E+08,1.01.E+09,9.81.E+08,3.29.E+08,5.21.E+08,4.20.E+08,6.97.E+08,9.39.E+08,5.59.E+08,1.50.E+08,4.35.E+08,4.26.E+08,3.51.E+08,6.36.E+08,5.84.E+08,3.49.E+08,3.94.E+07,4.24.E+08,1.65.E+08,1.93.E+08,5.03.E+08,9.73.E+08,9.41.E+08,9.50.E+08,3.96.E+08,8.10.E+08,1.49.E+09,2.75.E+08
007,Polysaccharides,KULFFI-7,2.48.E+09,3.43.E+08,1.47.E+09,8.16.E+08,8.87.E+08,6.55.E+08,6.68.E+08,8.92.E+08,1.02.E+09,6.59.E+08,5.46.E+08,9.25.E+08,9.69.E+08,1.29.E+09,1.58.E+09,8.47.E+08,8.84.E+08,1.81.E+09,2.57.E+08,3.60.E+08,1.61.E+09,9.36.E+05,1.30.E+09,1.09.E+08,9.60.E+08,1.08.E+09,1.33.E+09,4.98.E+08,5.51.E+06,4.81.E+08,4.91.E+08,5.97.E+08,1.17.E+09,1.26.E+08,5.15.E+08,8.04.E+08,6.48.E+08,1.30.E+09,1.00.E+09,1.42.E+08,2.23.E+08,8.47.E+08,2.64.E+08,8.68.E+08,9.16.E+08,1.17.E+09,4.38.E+08,1.29.E+09,1.00.E+09,7.46.E+08,1.31.E+09,4.10.E+08
008,Polysaccharides,Resistant starch,2.44.E+09,2.21.E+08,5.94.E+08,1.26.E+09,5.12.E+08,4.59.E+08,5.53.E+08,4.63.E+08,2.27.E+08,3.49.E+08,5.49.E+08,4.43.E+08,4.15.E+08,6.83.E+08,1.18.E+09,7.39.E+08,1.78.E+09,1.15.E+09,1.30.E+08,2.80.E+07,5.40.E+08,7.65.E+08,9.35.E+08,3.02.E+08,6.60.E+08,9.14.E+08,1.08.E+09,3.36.E+08,3.36.E+08,5.16.E+08,1.16.E+09,8.29.E+08,6.09.E+08,1.51.E+08,2.69.E+08,5.70.E+08,4.46.E+08,6.51.E+08,5.89.E+08,3.53.E+08,3.32.E+07,3.06.E+08,1.35.E+08,6.34.E+08,4.20.E+08,7.95.E+08,8.60.E+08,1.21.E+09,5.26.E+08,8.22.E+08,1.38.E+09,2.03.E+08
009,Polysaccharides,KULFFI-9,2.06.E+09,3.30.E+08,5.43.E+08,7.08.E+08,9.04.E+08,4.35.E+08,5.61.E+08,5.00.E+08,3.13.E+08,4.69.E+08,2.21.E+08,4.18.E+08,2.61.E+08,5.32.E+08,1.10.E+09,4.39.E+08,1.41.E+09,1.15.E+09,1.23.E+08,2.88.E+07,1.76.E+08,3.28.E+08,1.44.E+09,4.76.E+08,6.52.E+08,9.18.E+08,7.46.E+08,5.08.E+08,6.59.E+08,4.36.E+08,1.05.E+09,1.00.E+09,6.88.E+08,1.93.E+08,3.45.E+08,4.24.E+08,4.29.E+08,7.72.E+08,6.49.E+08,4.32.E+08,4.00.E+07,3.16.E+08,2.93.E+08,2.70.E+07,4.45.E+08,7.95.E+08,9.19.E+08,8.59.E+08,3.64.E+08,6.81.E+08,1.24.E+09,2.67.E+08
