ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
000,-,Control,66.78 ,54.10 ,53.64 ,65.57 ,78.50 ,38.30 ,79.99 ,72.43 ,79.01 ,68.73 ,80.68 ,44.42 ,60.70 ,74.52 ,59.77 ,80.41 ,45.93 ,58.11 ,58.65 ,9.03 ,45.50 ,29.66 ,52.83 ,59.68 ,84.24 ,73.85 ,57.04 ,81.79 ,69.33 ,69.54 ,58.93 ,61.69 ,54.75 ,12.21 ,59.85 ,32.71 ,73.10 ,76.57 ,77.63 ,37.74 ,47.75 ,38.78 ,25.70 ,40.24 ,78.39 ,76.05 ,48.91 ,57.27 ,53.86 ,63.08 ,52.90,47.59
001,Polysaccharides,KULFFI-1,65.87 ,52.82 ,54.17 ,64.57 ,78.63 ,34.35 ,81.68 ,72.74 ,66.58 ,69.46 ,83.36 ,42.98 ,61.39 ,73.77 ,58.06 ,79.94 ,45.46 ,58.60 ,57.06 ,8.00 ,42.97 ,23.81 ,54.83 ,59.68 ,81.50 ,74.06 ,62.09 ,83.08 ,70.23 ,68.03 ,60.45 ,63.24 ,55.59 ,2.08 ,59.36 ,32.62 ,73.11 ,75.31 ,72.51 ,37.14 ,46.64 ,39.14 ,26.30 ,43.55 ,77.68 ,71.90 ,50.33 ,58.37 ,52.66 ,63.95 ,52.58,45.86
002,Polysaccharides,KULFFI-2,66.67 ,57.01 ,53.92 ,64.65 ,79.19 ,36.45 ,81.27 ,69.54 ,77.82 ,69.61 ,81.99 ,44.60 ,61.07 ,75.40 ,56.89 ,78.68 ,42.17 ,57.68 ,60.40 ,8.29 ,45.06 ,38.60 ,54.26 ,61.24 ,81.61 ,73.13 ,62.51 ,82.74 ,69.93 ,62.52 ,61.75 ,62.97 ,53.63 ,2.17 ,57.73 ,32.77 ,74.31 ,73.17 ,76.60 ,37.26 ,43.76 ,38.54 ,25.70 ,39.76 ,79.34 ,69.32 ,49.98 ,56.71 ,54.84 ,63.33 ,51.79,47.24
003,Polysaccharides,KULFFI-3,63.08 ,48.94 ,48.61 ,61.99 ,78.52 ,32.82 ,87.62 ,81.72 ,90.77 ,72.85 ,85.87 ,44.68 ,56.06 ,81.40 ,58.50 ,83.38 ,56.37 ,67.18 ,53.40 ,8.69 ,34.13 ,26.07 ,56.41 ,54.44 ,75.96 ,66.24 ,57.41 ,87.56 ,70.89 ,70.26 ,57.85 ,57.14 ,55.65 ,2.17 ,51.83 ,32.87 ,72.68 ,69.51 ,62.41 ,34.64 ,43.87 ,35.90 ,23.16 ,43.64 ,83.26 ,70.42 ,45.98 ,56.34 ,42.20 ,57.06 ,51.65,44.86
004,Polysaccharides,KULFFI-4,65.45 ,59.31 ,51.93 ,66.34 ,74.61 ,38.72 ,80.38 ,72.97 ,81.25 ,70.66 ,82.90 ,44.96 ,59.94 ,75.18 ,53.59 ,75.82 ,47.44 ,58.94 ,58.03 ,7.90 ,42.93 ,30.04 ,50.78 ,59.42 ,81.79 ,68.40 ,57.28 ,82.31 ,68.05 ,66.34 ,62.30 ,62.44 ,55.59 ,2.61 ,59.26 ,33.81 ,71.48 ,74.72 ,70.56 ,35.44 ,41.36 ,37.22 ,25.00 ,71.61 ,76.96 ,67.76 ,47.88 ,55.52 ,52.79 ,60.74 ,51.55,46.35
005,Polysaccharides,KULFFI-5,66.31 ,53.17 ,54.04 ,66.22 ,79.70 ,44.04 ,83.59 ,74.93 ,83.58 ,76.22 ,86.83 ,44.37 ,62.33 ,69.67 ,57.08 ,80.15 ,50.75 ,66.27 ,51.15 ,8.94 ,33.64 ,25.26 ,51.76 ,56.52 ,81.70 ,70.55 ,57.80 ,86.77 ,66.41 ,60.16 ,59.12 ,47.75 ,49.12 ,1.53 ,54.89 ,32.86 ,70.02 ,67.43 ,65.41 ,38.34 ,42.56 ,36.30 ,26.36 ,46.22 ,73.39 ,67.29 ,49.35 ,54.51 ,48.88 ,57.81 ,51.10,46.21
006,Polysaccharides,KULFFI-6,67.21 ,52.83 ,47.07 ,62.19 ,83.22 ,42.92 ,90.51 ,81.39 ,88.46 ,68.44 ,87.82 ,35.82 ,55.16 ,75.77 ,61.00 ,89.04 ,53.26 ,75.27 ,57.19 ,4.80 ,32.15 ,18.48 ,57.23 ,56.86 ,78.41 ,64.23 ,58.71 ,92.39 ,71.78 ,64.36 ,58.97 ,62.90 ,57.78 ,1.25 ,57.69 ,30.09 ,72.30 ,63.46 ,59.73 ,38.60 ,42.67 ,36.24 ,22.07 ,35.98 ,80.04 ,69.41 ,48.08 ,54.76 ,47.06 ,58.13 ,52.64,41.47
007,Polysaccharides,KULFFI-7,64.96 ,53.35 ,52.46 ,63.40 ,78.37 ,43.41 ,79.19 ,73.66 ,90.82 ,69.29 ,80.85 ,40.81 ,56.28 ,70.32 ,57.76 ,74.46 ,50.19 ,60.90 ,54.82 ,9.45 ,38.15 ,22.99 ,51.98 ,55.80 ,73.37 ,77.26 ,61.78 ,81.62 ,69.82 ,63.01 ,56.28 ,51.21 ,49.58 ,2.26 ,54.11 ,31.93 ,70.97 ,64.61 ,62.66 ,34.74 ,40.31 ,35.59 ,23.65 ,44.94 ,75.90 ,69.44 ,46.93 ,49.22 ,51.37 ,55.96 ,46.45,43.43
008,Polysaccharides,Resistant starch,68.66 ,60.20 ,47.36 ,78.88 ,84.73 ,40.65 ,96.64 ,88.38 ,71.47 ,66.22 ,99.16 ,37.86 ,49.94 ,74.45 ,62.83 ,101.40 ,55.13 ,81.05 ,53.64 ,1.66 ,35.28 ,18.00 ,59.81 ,62.88 ,78.52 ,72.46 ,58.73 ,90.06 ,71.51 ,67.70 ,60.69 ,57.76 ,55.70 ,1.23 ,51.17 ,37.41 ,69.75 ,69.40 ,60.68 ,36.64 ,38.30 ,37.24 ,23.33 ,57.76 ,81.57 ,66.35 ,49.16 ,55.01 ,47.45 ,64.34 ,59.51,36.64
009,Polysaccharides,KULFFI-9,62.57 ,45.03 ,40.36 ,53.47 ,84.07 ,33.43 ,95.95 ,86.61 ,99.18 ,76.50 ,92.06 ,32.70 ,47.11 ,85.23 ,62.05 ,92.45 ,56.33 ,79.26 ,54.01 ,1.81 ,26.50 ,14.22 ,55.70 ,46.45 ,65.13 ,55.33 ,55.87 ,90.43 ,73.38 ,59.11 ,56.28 ,57.87 ,56.23 ,1.90 ,51.84 ,24.47 ,73.53 ,65.54 ,62.77 ,34.32 ,44.64 ,31.28 ,21.90 ,6.34 ,77.29 ,71.67 ,44.92 ,56.60 ,42.68 ,51.72 ,54.37,40.49
