ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
000,-,Control,9.63.E+05,1.79.E+06,3.03.E+06,6.34.E+06,3.40.E+06,,,4.50.E+06,6.58.E+06,1.46.E+06,1.61.E+06,9.14.E+06,1.23.E+07,5.31.E+06,7.38.E+06,6.22.E+06,,6.58.E+06,1.91.E+07,,2.12.E+07,,2.75.E+06,1.25.E+07,1.54.E+07,1.65.E+07,1.07.E+07,4.76.E+06,2.31.E+05,2.28.E+07,1.70.E+07,1.72.E+07,8.30.E+06,8.25.E+05,1.22.E+07,6.18.E+05,1.21.E+07,3.30.E+07,5.72.E+06,,2.07.E+07,1.49.E+07,1.17.E+07,1.21.E+07,1.31.E+07,1.48.E+06,1.15.E+07,1.21.E+07,4.12.E+06,8.54.E+05,1.59.E+07,9.79.E+05
001,Polysaccharides,KULFFI-1,3.55.E+06,4.88.E+06,1.20.E+07,2.59.E+07,1.28.E+07,,,1.31.E+07,1.37.E+07,#VALUE!,3.43.E+06,1.46.E+07,1.96.E+07,6.65.E+06,1.09.E+07,9.24.E+06,,8.71.E+06,3.79.E+07,,1.23.E+07,,1.81.E+06,1.92.E+07,2.51.E+07,2.28.E+07,1.92.E+07,4.15.E+06,3.47.E+05,4.46.E+07,2.53.E+07,2.21.E+07,1.20.E+07,1.05.E+06,1.16.E+07,8.98.E+05,1.58.E+07,3.68.E+07,9.34.E+06,,2.75.E+07,2.03.E+07,1.63.E+07,1.45.E+07,1.81.E+07,1.52.E+06,1.76.E+07,2.05.E+07,5.14.E+06,9.84.E+05,1.83.E+07,1.18.E+06
002,Polysaccharides,KULFFI-2,4.41.E+06,6.12.E+06,9.10.E+06,2.00.E+07,1.35.E+07,,,8.59.E+06,1.61.E+07,2.52.E+06,3.53.E+06,1.22.E+07,2.08.E+07,5.75.E+06,1.27.E+07,1.19.E+07,,8.62.E+06,2.72.E+07,,1.77.E+07,,2.12.E+06,1.83.E+07,2.77.E+07,3.05.E+07,1.64.E+07,8.41.E+06,3.97.E+05,2.21.E+07,2.58.E+07,2.33.E+07,1.32.E+07,1.15.E+06,1.50.E+07,8.39.E+05,2.00.E+07,4.11.E+07,1.05.E+07,,3.80.E+07,2.20.E+07,2.28.E+07,1.31.E+07,1.87.E+07,1.82.E+06,1.92.E+07,2.66.E+07,5.32.E+06,8.81.E+05,2.78.E+07,1.25.E+06
003,Polysaccharides,KULFFI-3,9.72.E+06,9.64.E+06,1.53.E+07,4.00.E+07,2.22.E+07,,,2.06.E+07,3.41.E+07,2.86.E+06,1.04.E+07,3.37.E+07,3.24.E+07,1.69.E+07,1.64.E+07,1.25.E+07,,6.04.E+06,5.59.E+07,,2.66.E+07,,9.76.E+06,3.44.E+07,1.25.E+08,3.64.E+07,3.52.E+07,7.09.E+06,1.41.E+06,3.05.E+07,3.57.E+07,2.87.E+07,1.70.E+07,9.13.E+05,1.89.E+07,9.72.E+05,2.17.E+07,7.67.E+07,3.29.E+07,,4.03.E+07,3.80.E+07,2.64.E+07,3.29.E+07,2.83.E+07,2.93.E+06,2.10.E+07,2.94.E+07,5.73.E+07,1.18.E+06,2.98.E+07,3.84.E+05
004,Polysaccharides,KULFFI-4,5.84.E+06,9.45.E+06,1.85.E+07,1.40.E+07,2.02.E+07,,,1.13.E+07,3.11.E+07,4.26.E+06,1.63.E+07,3.54.E+07,2.10.E+07,1.18.E+07,1.03.E+07,9.38.E+06,,3.56.E+07,7.55.E+07,,5.31.E+07,,8.33.E+06,3.36.E+07,2.08.E+07,1.26.E+07,1.89.E+07,3.09.E+06,1.06.E+06,3.56.E+07,2.44.E+07,1.77.E+07,9.28.E+06,5.51.E+05,1.65.E+06,1.02.E+06,1.47.E+07,3.48.E+07,7.27.E+06,,1.26.E+07,2.17.E+07,1.84.E+07,1.53.E+07,1.42.E+07,Undetermined,5.70.E+05,9.38.E+06,6.49.E+06,1.70.E+06,1.40.E+07,1.59.E+06
005,Polysaccharides,KULFFI-5,1.16.E+07,8.76.E+06,1.92.E+07,4.81.E+07,3.22.E+07,,,2.77.E+07,4.59.E+07,3.38.E+06,5.54.E+06,3.72.E+07,4.14.E+07,2.17.E+07,1.24.E+07,1.06.E+07,,3.48.E+07,1.06.E+08,,3.00.E+07,,1.40.E+07,6.40.E+07,6.57.E+07,3.69.E+07,2.46.E+07,6.01.E+06,6.73.E+05,2.30.E+07,3.38.E+07,1.64.E+07,1.64.E+07,8.59.E+05,1.26.E+07,1.60.E+06,1.60.E+07,8.40.E+07,1.92.E+07,,3.49.E+07,4.48.E+07,2.95.E+07,3.60.E+07,4.41.E+07,3.43.E+06,2.75.E+07,3.68.E+07,9.17.E+06,1.20.E+06,1.99.E+07,1.46.E+06
006,Polysaccharides,KULFFI-6,9.38.E+06,1.11.E+07,1.77.E+07,5.97.E+07,2.60.E+07,,,4.29.E+07,4.07.E+07,3.57.E+06,5.01.E+06,3.05.E+07,2.65.E+07,1.05.E+07,9.83.E+06,1.15.E+07,,1.26.E+07,9.03.E+07,,3.10.E+07,,3.21.E+07,9.31.E+07,1.23.E+08,5.52.E+07,3.89.E+07,1.47.E+07,1.69.E+06,6.32.E+07,6.08.E+07,6.42.E+07,3.02.E+07,1.59.E+06,2.82.E+07,1.77.E+06,3.75.E+07,1.09.E+08,4.80.E+07,,7.23.E+07,4.85.E+07,3.63.E+07,1.33.E+06,7.18.E+07,4.01.E+06,3.68.E+07,4.16.E+07,1.55.E+07,2.64.E+06,4.78.E+07,4.62.E+05
007,Polysaccharides,KULFFI-7,5.45.E+06,6.15.E+06,2.00.E+07,1.42.E+07,1.04.E+07,,,1.79.E+07,3.68.E+07,1.55.E+06,1.67.E+06,3.17.E+07,2.79.E+07,1.84.E+07,5.72.E+06,1.16.E+07,,2.50.E+07,3.26.E+07,,5.37.E+07,,1.73.E+07,9.81.E+06,3.29.E+07,1.71.E+07,2.52.E+07,4.86.E+06,Undetermined,1.34.E+07,1.47.E+07,7.26.E+06,1.43.E+07,Undetermined,9.72.E+06,1.33.E+06,1.10.E+07,2.68.E+07,1.60.E+07,,1.73.E+07,4.33.E+07,1.96.E+07,1.72.E+07,1.91.E+07,1.63.E+06,7.23.E+06,2.70.E+07,4.84.E+07,5.37.E+05,1.03.E+07,1.43.E+06
008,Polysaccharides,Resistant starch,3.13.E+06,3.14.E+06,7.10.E+06,2.31.E+07,8.16.E+06,,,1.38.E+07,1.01.E+07,#VALUE!,1.76.E+06,9.52.E+06,1.70.E+07,7.59.E+06,8.41.E+06,1.33.E+07,,1.14.E+07,2.05.E+07,,3.01.E+07,,2.90.E+07,7.48.E+07,7.21.E+07,6.23.E+07,4.57.E+07,1.34.E+07,2.32.E+06,8.58.E+07,4.00.E+07,4.98.E+07,2.80.E+07,1.33.E+06,2.05.E+07,1.48.E+06,4.01.E+07,1.05.E+08,5.08.E+07,,2.69.E+07,5.11.E+07,3.17.E+07,3.43.E+07,5.33.E+07,4.21.E+06,2.75.E+07,4.63.E+07,1.30.E+07,2.03.E+06,5.29.E+07,Undetermined
009,Polysaccharides,KULFFI-9,3.90.E+06,7.71.E+06,1.01.E+07,2.39.E+07,3.01.E+07,,,4.13.E+07,3.79.E+07,3.93.E+06,7.58.E+06,2.23.E+07,1.35.E+07,1.58.E+07,1.28.E+07,1.83.E+07,,5.28.E+07,2.43.E+07,,3.40.E+07,,2.76.E+07,4.95.E+07,1.07.E+08,2.20.E+07,2.26.E+07,7.70.E+06,1.29.E+06,2.24.E+07,3.55.E+07,2.52.E+07,1.07.E+07,4.65.E+05,2.23.E+07,7.17.E+05,2.58.E+07,5.31.E+07,3.78.E+07,,1.99.E+07,2.66.E+07,1.55.E+07,Undetermined,2.50.E+07,1.25.E+06,1.55.E+07,2.88.E+07,2.28.E+07,8.92.E+05,1.38.E+07,Undetermined
