ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
000,-,Control,1.50.E+08,1.07.E+07,6.53.E+06,1.46.E+09,5.50.E+08,3.25.E+08,7.03.E+08,2.24.E+07,2.60.E+07,2.16.E+08,1.26.E+08,4.37.E+07,1.16.E+09,1.01.E+08,1.80.E+07,1.38.E+09,1.41.E+04,1.38.E+08,2.05.E+08,1.45.E+09,1.69.E+08,1.21.E+08,4.77.E+08,3.19.E+04,9.59.E+08,4.31.E+08,5.18.E+08,5.01.E+08,1.21.E+07,2.43.E+08,1.54.E+09,2.51.E+07,3.32.E+08,2.31.E+07,2.27.E+08,6.53.E+08,5.13.E+08,2.69.E+06,1.14.E+08,5.11.E+08,4.62.E+08,2.21.E+09,1.69.E+09,3.72.E+09,4.67.E+08,1.30.E+08,1.08.E+09,1.75.E+09,1.57.E+09,9.19.E+08,2.18.E+09,7.22.E+08
001,Polysaccharides,KULFFI-1,9.06.E+07,1.07.E+07,2.03.E+07,1.71.E+09,5.97.E+08,2.26.E+08,6.67.E+08,3.55.E+07,2.35.E+07,1.78.E+08,1.77.E+08,2.53.E+07,9.50.E+08,1.06.E+08,1.73.E+07,1.29.E+09,2.52.E+04,1.25.E+08,2.21.E+08,1.22.E+09,1.14.E+08,5.62.E+07,2.18.E+08,2.63.E+04,8.48.E+08,3.83.E+08,6.41.E+08,3.86.E+08,1.23.E+07,2.68.E+08,1.33.E+09,2.73.E+07,3.12.E+08,2.53.E+07,1.89.E+08,6.48.E+08,4.25.E+08,2.53.E+06,1.30.E+08,5.29.E+08,4.61.E+08,2.12.E+09,1.46.E+09,3.14.E+09,4.00.E+08,1.17.E+08,1.19.E+09,1.74.E+09,1.29.E+09,9.44.E+08,1.77.E+09,7.41.E+08
002,Polysaccharides,KULFFI-2,8.15.E+07,5.09.E+06,4.97.E+06,1.08.E+09,5.56.E+08,1.88.E+08,6.20.E+08,2.46.E+07,1.60.E+07,2.44.E+08,1.36.E+08,3.44.E+07,8.91.E+08,9.28.E+07,1.96.E+07,1.26.E+09,#VALUE!,9.51.E+07,2.02.E+08,1.04.E+09,1.29.E+08,6.37.E+07,3.36.E+08,2.07.E+04,8.97.E+08,3.88.E+08,4.48.E+08,2.26.E+08,1.04.E+07,2.72.E+08,1.47.E+09,2.10.E+07,2.64.E+08,2.72.E+07,1.87.E+08,5.98.E+08,4.18.E+08,2.37.E+06,9.62.E+07,4.96.E+08,4.36.E+08,1.98.E+09,1.56.E+09,2.66.E+09,3.00.E+08,1.13.E+08,1.07.E+09,1.69.E+09,1.18.E+09,7.31.E+08,1.61.E+09,6.52.E+08
003,Polysaccharides,KULFFI-3,1.30.E+08,6.49.E+06,5.63.E+07,1.46.E+09,8.22.E+08,2.98.E+08,8.48.E+08,2.66.E+07,2.28.E+07,3.06.E+08,2.39.E+08,9.88.E+07,1.22.E+09,1.93.E+08,2.48.E+07,1.38.E+09,1.52.E+04,2.16.E+08,2.88.E+08,1.22.E+09,7.10.E+08,2.75.E+08,5.45.E+08,2.37.E+04,1.66.E+09,6.50.E+08,9.03.E+08,3.91.E+08,2.78.E+07,3.00.E+08,1.54.E+09,5.10.E+07,2.90.E+08,3.51.E+07,2.11.E+08,5.84.E+08,7.41.E+08,5.61.E+06,2.86.E+08,6.14.E+08,6.11.E+08,2.47.E+09,1.70.E+09,7.91.E+09,7.59.E+08,2.51.E+08,1.21.E+09,2.35.E+09,1.78.E+09,1.33.E+09,4.86.E+09,1.86.E+09
004,Polysaccharides,KULFFI-4,8.68.E+07,8.23.E+06,9.81.E+06,1.21.E+09,6.81.E+08,2.12.E+08,5.98.E+08,1.66.E+07,2.09.E+07,3.20.E+08,3.08.E+08,2.83.E+07,8.44.E+08,2.42.E+08,2.99.E+07,9.09.E+08,1.51.E+04,1.52.E+08,2.81.E+08,1.51.E+09,2.41.E+08,2.42.E+08,5.07.E+08,2.79.E+04,9.25.E+08,3.05.E+08,7.18.E+08,1.94.E+08,2.28.E+07,2.26.E+08,1.34.E+09,2.59.E+07,2.89.E+08,3.78.E+07,1.09.E+08,4.30.E+08,3.62.E+08,6.39.E+06,9.92.E+07,3.76.E+08,3.75.E+08,1.96.E+09,1.63.E+09,1.94.E+09,5.87.E+08,6.82.E+07,5.29.E+08,1.49.E+09,1.49.E+09,8.76.E+08,1.99.E+09,1.15.E+09
005,Polysaccharides,KULFFI-5,1.14.E+08,6.89.E+06,2.30.E+07,1.25.E+09,5.63.E+08,1.87.E+08,8.89.E+08,2.11.E+07,1.97.E+07,2.77.E+08,1.32.E+08,9.68.E+07,1.76.E+09,1.93.E+08,1.79.E+07,1.55.E+09,2.10.E+04,3.19.E+08,2.89.E+08,1.32.E+09,5.81.E+08,5.97.E+07,4.42.E+08,2.87.E+04,1.29.E+09,5.30.E+08,8.73.E+08,2.63.E+08,2.22.E+07,3.08.E+08,1.57.E+09,6.25.E+07,4.52.E+08,3.22.E+07,1.95.E+08,5.28.E+08,6.63.E+08,4.15.E+06,1.68.E+08,6.05.E+08,9.20.E+08,1.96.E+09,2.02.E+09,3.80.E+09,1.74.E+09,2.46.E+08,1.51.E+09,2.25.E+09,1.61.E+09,1.32.E+09,5.86.E+09,1.62.E+09
006,Polysaccharides,KULFFI-6,1.84.E+08,7.61.E+07,2.65.E+07,3.56.E+09,8.27.E+08,1.23.E+09,1.68.E+09,7.88.E+07,7.63.E+08,1.50.E+09,2.29.E+08,1.68.E+09,4.60.E+09,3.22.E+08,1.85.E+08,2.36.E+09,3.13.E+04,6.14.E+08,2.55.E+09,1.73.E+09,1.10.E+09,1.69.E+09,1.46.E+09,2.97.E+04,2.06.E+09,1.62.E+09,1.32.E+09,6.04.E+08,3.63.E+07,7.49.E+08,2.21.E+09,6.54.E+08,1.52.E+09,3.44.E+07,7.25.E+08,1.38.E+09,8.70.E+08,1.38.E+07,9.40.E+08,2.02.E+09,1.24.E+09,3.23.E+09,1.48.E+09,1.61.E+09,1.17.E+09,8.23.E+08,5.52.E+09,2.73.E+09,4.33.E+09,2.49.E+09,4.97.E+09,1.30.E+10
007,Polysaccharides,KULFFI-7,1.56.E+08,1.27.E+07,2.30.E+07,3.85.E+09,8.89.E+08,1.96.E+08,6.88.E+08,8.41.E+07,5.27.E+07,4.67.E+08,1.17.E+08,3.90.E+07,2.18.E+09,1.44.E+08,2.84.E+07,1.98.E+09,2.43.E+04,3.03.E+08,1.77.E+08,2.28.E+09,7.63.E+08,4.68.E+07,1.97.E+08,1.75.E+04,1.63.E+09,6.83.E+08,9.54.E+08,1.08.E+07,5.48.E+05,3.26.E+08,9.70.E+08,1.93.E+07,2.59.E+08,5.20.E+07,1.82.E+08,7.22.E+08,3.90.E+08,5.20.E+06,2.17.E+08,2.84.E+08,1.87.E+08,2.20.E+09,2.15.E+09,2.85.E+09,5.58.E+08,2.19.E+08,5.80.E+08,2.59.E+09,1.55.E+09,7.64.E+08,1.18.E+09,2.30.E+08
008,Polysaccharides,Resistant starch,2.56.E+08,1.17.E+07,4.37.E+07,2.37.E+09,7.81.E+08,4.95.E+08,7.46.E+08,1.13.E+08,1.71.E+07,2.16.E+08,4.40.E+08,4.42.E+07,1.40.E+09,1.92.E+08,3.69.E+07,2.86.E+09,9.84.E+03,2.99.E+08,1.55.E+08,1.71.E+07,1.28.E+09,1.35.E+08,5.99.E+08,2.50.E+04,9.51.E+08,3.95.E+08,9.42.E+08,9.24.E+05,2.37.E+07,5.49.E+08,1.55.E+09,4.04.E+07,3.31.E+08,3.62.E+07,1.52.E+08,6.70.E+08,4.38.E+08,7.04.E+06,2.17.E+08,4.17.E+08,7.66.E+07,2.09.E+09,1.02.E+09,2.31.E+09,1.94.E+09,2.54.E+08,1.48.E+09,2.04.E+09,1.32.E+09,1.15.E+09,4.27.E+09,1.23.E+09
009,Polysaccharides,KULFFI-9,2.24.E+08,1.99.E+07,5.80.E+07,1.51.E+09,1.13.E+09,5.87.E+08,9.50.E+08,1.56.E+08,8.48.E+07,7.40.E+08,1.25.E+08,1.02.E+08,8.03.E+08,2.23.E+08,3.33.E+07,2.26.E+09,1.73.E+04,4.53.E+08,1.72.E+08,1.29.E+08,1.33.E+09,4.71.E+07,6.10.E+08,3.31.E+04,1.72.E+09,7.42.E+08,1.02.E+09,6.70.E+08,3.87.E+07,3.66.E+08,1.78.E+09,5.64.E+07,3.56.E+08,2.94.E+07,2.59.E+08,1.22.E+09,7.51.E+08,5.39.E+06,3.95.E+08,5.40.E+08,7.93.E+07,1.97.E+09,1.06.E+09,2.45.E+07,2.01.E+09,5.33.E+08,1.89.E+09,2.64.E+09,1.94.E+09,1.33.E+09,5.33.E+09,1.21.E+09
