ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
000,-,Control,43.89 ,35.65 ,41.87 ,60.44 ,40.26 ,66.87 ,46.81 ,40.33 ,32.82 ,47.08 ,21.18 ,49.83 ,54.01 ,52.69 ,68.00 ,49.62 ,48.23 ,47.10 ,38.75 ,72.60 ,63.87 ,59.45 ,54.78 ,65.86 ,56.61 ,53.97 ,50.21 ,39.54 ,42.92 ,40.60 ,45.28 ,46.04 ,45.78 ,19.36 ,40.09 ,46.36 ,49.17 ,48.50 ,47.69 ,44.80 ,38.09 ,39.01 ,41.43 ,56.24 ,26.48 ,43.43 ,45.97 ,71.78 ,42.13 ,41.70 ,49.13 ,33.55 
001,Polysaccharides,KULFFI-1,43.74 ,36.09 ,41.51 ,59.58 ,42.63 ,59.87 ,47.70 ,40.23 ,28.85 ,48.16 ,21.94 ,51.14 ,54.36 ,54.75 ,67.02 ,47.81 ,49.43 ,47.08 ,38.84 ,68.90 ,62.10 ,62.05 ,54.12 ,66.21 ,57.86 ,53.24 ,51.24 ,40.50 ,43.73 ,40.52 ,46.89 ,44.56 ,46.63 ,8.74 ,40.28 ,46.00 ,50.63 ,47.44 ,45.67 ,45.05 ,38.91 ,39.72 ,43.72 ,60.66 ,26.56 ,41.41 ,46.84 ,73.03 ,43.31 ,42.27 ,49.41 ,32.56 
002,Polysaccharides,KULFFI-2,44.44 ,36.53 ,42.97 ,59.56 ,43.98 ,64.02 ,47.22 ,38.27 ,32.21 ,47.65 ,21.52 ,50.85 ,54.26 ,55.39 ,66.07 ,49.80 ,52.58 ,48.39 ,36.98 ,69.49 ,63.53 ,62.13 ,54.95 ,66.94 ,55.93 ,52.48 ,51.80 ,39.48 ,43.10 ,36.87 ,47.77 ,46.57 ,46.18 ,8.70 ,38.59 ,46.24 ,50.43 ,45.91 ,47.59 ,44.39 ,38.86 ,39.36 ,41.93 ,56.25 ,26.95 ,40.14 ,46.68 ,71.09 ,42.56 ,42.47 ,48.27 ,33.49 
003,Polysaccharides,KULFFI-3,47.41 ,41.94 ,47.52 ,61.92 ,41.05 ,63.12 ,52.31 ,45.03 ,38.03 ,51.63 ,24.65 ,53.03 ,51.64 ,60.62 ,68.18 ,51.48 ,53.54 ,49.70 ,38.04 ,68.55 ,63.40 ,63.27 ,58.83 ,68.21 ,58.56 ,58.11 ,51.52 ,46.60 ,49.98 ,42.59 ,52.96 ,54.88 ,51.96 ,8.40 ,43.17 ,44.50 ,52.22 ,47.90 ,46.64 ,47.36 ,40.39 ,38.26 ,41.56 ,60.24 ,32.33 ,42.59 ,48.46 ,67.23 ,44.31 ,40.88 ,51.91 ,36.11 
004,Polysaccharides,KULFFI-4,44.46 ,36.10 ,41.66 ,59.73 ,40.88 ,67.51 ,46.00 ,40.12 ,32.79 ,47.58 ,21.75 ,50.28 ,52.81 ,56.06 ,64.01 ,48.85 ,47.79 ,47.33 ,36.92 ,66.96 ,59.49 ,59.48 ,53.33 ,65.51 ,54.25 ,48.70 ,47.26 ,40.57 ,42.16 ,38.88 ,47.92 ,45.30 ,45.81 ,8.33 ,38.39 ,46.61 ,48.30 ,45.88 ,45.91 ,43.56 ,38.74 ,37.97 ,39.23 ,49.17 ,26.14 ,39.16 ,46.18 ,68.05 ,43.15 ,41.31 ,48.30 ,32.63 
005,Polysaccharides,KULFFI-5,44.70 ,38.86 ,42.97 ,61.38 ,41.33 ,77.55 ,49.48 ,42.30 ,36.25 ,52.69 ,23.60 ,54.23 ,48.65 ,52.19 ,68.22 ,52.21 ,48.33 ,51.88 ,39.20 ,63.20 ,62.14 ,66.31 ,59.25 ,65.47 ,54.15 ,56.57 ,50.33 ,39.05 ,45.41 ,38.57 ,51.11 ,50.05 ,43.88 ,9.03 ,37.33 ,41.75 ,47.94 ,44.25 ,45.50 ,46.58 ,39.35 ,38.04 ,39.71 ,62.46 ,33.74 ,45.88 ,50.22 ,66.08 ,44.35 ,41.45 ,51.41 ,36.17 
006,Polysaccharides,KULFFI-6,46.27 ,37.18 ,45.21 ,54.43 ,36.56 ,71.03 ,47.16 ,42.14 ,35.32 ,48.76 ,21.50 ,39.36 ,49.31 ,43.63 ,66.24 ,48.87 ,55.00 ,52.44 ,33.05 ,64.47 ,61.83 ,62.64 ,57.16 ,68.30 ,55.32 ,52.02 ,51.03 ,43.53 ,47.44 ,38.23 ,46.68 ,52.86 ,44.11 ,8.87 ,39.61 ,48.74 ,52.85 ,43.65 ,46.90 ,43.32 ,29.52 ,34.12 ,38.14 ,48.89 ,29.05 ,42.73 ,43.29 ,66.98 ,38.35 ,38.51 ,47.40 ,29.56 
007,Polysaccharides,KULFFI-7,44.29 ,36.41 ,42.13 ,60.42 ,42.93 ,73.57 ,47.64 ,42.41 ,40.92 ,48.38 ,25.10 ,51.62 ,51.41 ,57.61 ,67.27 ,46.47 ,42.64 ,48.77 ,36.29 ,66.45 ,60.03 ,61.08 ,53.04 ,63.49 ,55.53 ,58.20 ,50.71 ,38.74 ,43.78 ,46.21 ,48.27 ,48.27 ,44.77 ,9.05 ,40.09 ,45.76 ,50.78 ,48.74 ,46.10 ,43.64 ,36.36 ,37.77 ,40.26 ,56.26 ,30.47 ,44.58 ,49.26 ,62.89 ,45.88 ,39.33 ,52.54 ,33.82 
008,Polysaccharides,Resistant starch,47.79 ,36.09 ,44.54 ,64.82 ,35.04 ,70.19 ,52.12 ,43.11 ,29.48 ,45.45 ,26.21 ,42.31 ,44.00 ,56.27 ,48.95 ,51.45 ,58.89 ,52.73 ,29.47 ,59.93 ,61.16 ,67.67 ,55.69 ,66.67 ,54.21 ,54.10 ,51.39 ,41.71 ,46.98 ,45.55 ,51.23 ,46.68 ,41.99 ,8.20 ,33.12 ,47.13 ,49.84 ,44.70 ,45.33 ,44.10 ,30.40 ,36.04 ,39.13 ,51.73 ,34.69 ,42.92 ,45.15 ,68.20 ,40.84 ,40.13 ,49.55 ,29.03 
009,Polysaccharides,KULFFI-9,48.98 ,40.06 ,47.19 ,48.50 ,30.22 ,61.95 ,48.76 ,39.20 ,31.66 ,51.04 ,17.02 ,43.75 ,42.40 ,45.17 ,63.19 ,48.51 ,58.97 ,49.31 ,29.63 ,62.41 ,56.36 ,54.66 ,59.72 ,72.61 ,49.39 ,52.32 ,47.35 ,43.71 ,49.41 ,34.27 ,47.17 ,51.37 ,42.85 ,8.35 ,32.50 ,53.16 ,52.58 ,44.42 ,43.44 ,41.93 ,27.38 ,33.86 ,38.07 ,10.76 ,30.96 ,44.25 ,45.58 ,75.81 ,38.30 ,39.24 ,49.31 ,31.06 
010,Polysaccharides,KULFFI-10,46.97 ,38.49 ,40.49 ,61.04 ,38.31 ,73.88 ,48.45 ,40.67 ,35.19 ,53.73 ,21.38 ,48.57 ,52.21 ,52.11 ,61.66 ,46.08 ,46.96 ,47.15 ,35.18 ,60.50 ,57.52 ,61.23 ,53.84 ,66.30 ,53.39 ,54.95 ,49.62 ,40.19 ,41.53 ,33.72 ,48.46 ,45.50 ,46.86 ,8.97 ,36.69 ,40.63 ,48.55 ,43.08 ,42.90 ,40.67 ,34.73 ,33.11 ,35.56 ,50.65 ,25.25 ,39.78 ,45.83 ,65.99 ,39.69 ,37.21 ,46.96 ,30.16 
011,Polysaccharides,KULFFI-11,47.48 ,39.19 ,42.11 ,60.88 ,42.52 ,71.64 ,50.85 ,43.86 ,36.40 ,53.63 ,26.10 ,52.36 ,49.46 ,56.12 ,67.66 ,50.06 ,54.02 ,52.25 ,33.81 ,60.56 ,57.93 ,68.11 ,58.24 ,68.09 ,61.31 ,60.75 ,51.10 ,47.81 ,48.29 ,41.83 ,51.52 ,54.22 ,48.19 ,8.71 ,40.67 ,45.82 ,56.20 ,47.82 ,43.76 ,44.65 ,35.87 ,37.63 ,41.23 ,58.77 ,29.69 ,43.56 ,49.30 ,73.51 ,44.66 ,37.93 ,51.60 ,28.74 
