ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
000,-,Control,263.8407147,268.63,288.39,274.6713749,254.57,235.61,278.29,270.55,219.22,228.15,200.4989062,235.29,271.4810685,254.31,268.84,287.19,228.38,276.65,244.64,192.65,256.25,228.4292056,286.0646864,295.9,303.7039863,268.86,262.2,247.3851425,243.47,246.04,264.57,254.73,244.47,180.78,264.53,214.7187543,257.49,311.98,244.58,260.14,223.12,225.45,186.48,217.94,210.9453566,252.87,265.8842916,260.74,234.65,258.77,234.65,232.44
001,Polysaccharides,KULFFI-1,261.319761,265.18,289.57,273.3012469,259.57,206.4,283.35,270.89,187.35,232.34,205.347275,235.55,272.1350663,251.74,267.64,277.77,227.57,278.19,244.58,182.95,248.12,212.0190514,290.0540166,296.46,291.5274595,263.58,267.13,252.1077955,248.19,244.77,273.16,252.44,249.23,142.5,260.78,212.6577863,261.28,308.55,248.48,257.25,226.39,227.8,195.6,233.34,210.4002676,240.17,272.1358697,264.84,233.97,259.72,233.97,225.36
002,Polysaccharides,KULFFI-2,263.5494098,264.2,290.53,271.6785329,262.94,226.13,280.35,261.1,212.72,231.21,204.0981691,238.94,271.5858193,256.08,263.38,283.51,221.32,278.52,238.7,184.19,253.98,244.2651057,288.8005469,300.71,292.9653105,261.05,268.44,248.734337,244.92,235.5,278.02,256.42,244.37,141.2,253.63,213.0255408,263.9,299.96,248.51,257.76,220.49,225.59,188.09,216.63,215.3122507,232.26,271.6307421,258.59,236,259.49,236,230.7
003,Polysaccharides,KULFFI-3,263.6916717,267.6,294.21,273.4990685,256.69,210.02,289.07,285.34,246.92,250.57,223.1186432,244.32,271.170641,269.07,272.06,288.09,239.6,287.38,242.61,182.7,262.17,218.265944,297.7676986,291.57,284.5519342,255.22,276.86,280.4800335,269.24,246.28,277.34,256.44,256.18,136.87,269.53,219.690653,254.26,302.52,252.73,266.19,234.6,228.55,183.39,235.76,238.8959304,240.3,266.299412,255.85,208.38,260.05,208.38,233.27
004,Polysaccharides,KULFFI-4,258.8104386,264.55,282.41,277.0790005,244.5,237.58,276.61,273.58,221.21,232.33,204.6184248,236.96,266.3412411,254.64,256.62,279.01,233.81,273.55,238.39,177.98,240.67,215.7843668,276.7862437,293.86,287.8369449,245.1,261.38,251.8014703,240.2,237.76,279.52,254.34,246.44,134.82,255.69,216.5984053,255.31,301.95,252.24,259.42,216.1,217.2,176.77,240.22,207.5345795,228.18,268.5050494,249.93,231.81,255.25,231.81,223.64
005,Polysaccharides,KULFFI-5,260.0464481,269.19,293.41,278.4371415,258.83,273.14,291.69,278.04,234.58,257.56,220.3628421,247.11,265.9538353,254.02,273.55,289.88,242.39,282.94,246.11,173.15,254.89,219.4011326,289.9913976,286.47,286.9208046,264.53,282.17,256.7255153,248,240.62,278.47,239.36,228.65,150.78,241.68,208.4996765,244.51,283.77,238.85,260.49,225.25,226.56,179.21,238.1,216.0886154,236.18,271.3009033,245.97,224.87,252.18,224.87,225.85
006,Polysaccharides,KULFFI-6,264.794125,259.81,289.11,254.1570593,254.38,239.28,275.99,279,219.62,228.82,207.8441812,205.27,261.1721625,244.51,279.02,283.74,246.16,285.54,231.04,171.33,260.81,196.8050771,309.1324333,296.01,272.415955,247.72,280.33,267.8535103,263.24,208.77,267.06,264.49,239.67,157.17,251.91,208.4242961,255.16,278.64,255.97,256.5,195.13,208.75,177.01,185.1,222.6319104,233.54,253.0510292,242.59,195.92,249.9,195.92,198.07
007,Polysaccharides,KULFFI-7,258.002951,251.5,287.4,270.7967754,259.16,255.66,279.58,266.55,253.28,231.58,209.3193564,235.26,254.4636619,244.75,262.4,263.57,232.41,266.42,224.27,179.34,239.16,208.3105904,276.7851908,282.13,269.6881891,278.84,281.4,243.0937475,247.68,262.51,265.56,232.74,227.73,148.75,243.82,212.2411128,254.47,275.27,234.21,246.75,203.51,214.95,180.24,223.49,214.9536354,236.63,259.7512127,228.64,230.14,236.19,230.14,215.15
008,Polysaccharides,Resistant starch,264.0696777,265.4,280.8,283.4631254,251.53,241.29,287.05,289.75,188.49,219.65,220.0402913,200.69,245.7862577,254.15,272.43,285.16,238.13,298.49,223.51,186.89,255.7,205.6845084,284.0270078,289.71,284.8160881,265.97,280.11,265.2287449,265.78,221.46,276.2,239.87,239.57,172.57,222.08,214.2691328,245.43,282.78,245.71,261.33,199.78,210.3,173.63,232.67,224.3347046,224.06,271.0652519,243.03,202.32,243.16,202.32,190.64
009,Polysaccharides,KULFFI-9,250.7438469,246.3,274.09,227.7825593,228.59,223.23,283.14,266.28,229.02,243.72,204.4847959,204.75,238.5536572,244.48,278.6,276.92,239.18,285.49,222.71,168.2,221.01,191.4612493,292.4565807,273.76,247.5543629,242.93,266.39,265.8003384,266.27,163.82,253.47,254.92,241.59,178.78,230.51,194.175149,256.4,283.57,239.16,249.63,186.63,205.54,186.94,154.38,204.9193894,236.97,248.4018574,261.65,186.88,224.5,186.88,197.14
