ID,NUtrision classfication,KULFFI,HS-01,HS-02,HS-03,HS-04,HS-05,HS-06,HS-07,HS-08,HS-09,HS-10,HS-11,HS-12,HS-13,HS-14,HS-15,HS-16,HS-17,HS-18,HS-19,HS-20,HS-21,HS-22,HS-23,HS-24,HS-25,HS-26,HS-27,HS-28,HS-29,HS-30,HS-31,HS-32,HS-33,HS-34,HS-35,HS-36,HS-37,HS-38,HS-39,HS-40,HS-41,HS-42,HS-43,HS-44,HS-45,HS-46,HS-47,HS-48,HS-49,HS-50,HS-51,HS-52
000,-,Control,7.04,6.62,6.4,6.79,7.01,7.18,7.18,7.39,7.59,7.43,7.56,6.93,6.33,7.57,7.12,6.85,7.14,7.28,6.13,5.78,7.03,6.27,6.81,6.49,7.31,6.87,6.99,7.15,7.63,6.87,6.32,6.5,6.09,4.94,6.96,6.04,6.72,7.03,7.3,6.22,6.23,5.81,5.6,6.28,7.42,7.15,6.38,6.34,6.37,6.37,6.34,6.4
001,Polysaccharides,KULFFI-1,7.04,6.53,6.43,6.81,7.06,7.05,7.31,7.26,7.5,7.53,7.5,6.87,6.37,7.6,6.91,6.85,7.15,7.18,6.18,5.55,7.04,5.84,6.56,6.72,6.91,7.13,6.96,7.6,7.78,6.84,6.58,6.37,6.11,4.83,6.8,6.12,6.68,6.77,7,6.1,6.03,6.05,5.42,6.24,7.62,7.26,6.42,6.16,6.27,6.28,6.68,6.5
002,Polysaccharides,KULFFI-2,7.05,6.49,6.34,6.88,6.95,6.96,7.34,7.25,7.5,7.47,7.59,6.98,6.43,7.56,7.03,6.99,7.29,7.17,6.23,6.02,6.56,7.01,6.56,6.68,7.09,7.03,6.97,7.58,8.27,6.64,6.65,6.83,5.97,4.68,7.05,6.1,6.65,6.66,7.24,6.13,6.23,6.06,5.52,5.91,7.63,7.25,6.42,6.5,6.3,6.35,6.79,6.42
003,Polysaccharides,KULFFI-3,6.38,6.18,5.93,6.15,6.67,6.51,6.87,7.04,7.32,7.08,7.26,6.47,5.9,7.25,6.72,6.61,7.06,6.94,5.75,6.16,5.96,5.47,6.44,6.02,7.21,6.38,6.26,7.35,7.71,6.37,5.85,6.19,5.66,4.67,6.38,5.83,6.17,6.41,6.78,5.5,5.64,5.8,5.4,5.7,7.41,7.05,5.97,6.1,5.81,5.71,6.21,5.87
004,Polysaccharides,KULFFI-4,6.98,6.28,6.41,6.79,6.87,6.88,7.32,7.18,7.41,7.39,7.5,6.83,6.29,7.5,6.97,6.88,7.24,7.25,5.99,5.89,6.51,6.04,6.56,6.69,6.85,6.93,6.77,7.42,7.53,6.73,6.38,6.79,6.07,4.63,6.94,6.08,6.79,6.65,7.13,6.17,6.11,6.08,5.41,6.56,7.75,7.2,6.36,6.47,6.2,6.28,6.65,6.3
005,Polysaccharides,KULFFI-5,6.92,6.49,6.33,6.68,6.94,6.94,7.22,7.32,7.52,7.38,7.36,6.59,6.04,7.45,6.86,6.81,7.11,7.41,5.98,6.16,6.09,5.85,6.49,6.48,6.84,6.66,6.53,7.51,7.55,6.23,6.14,6.18,5.79,4.65,6.83,5.95,6.32,6.55,7.04,5.68,5.85,5.71,5.46,5.88,7.37,7.18,6.26,6.16,6.1,6.1,6.38,6.16
006,Polysaccharides,KULFFI-6,6.6,6.16,5.92,5.94,6.85,6.49,6.84,7.08,7.09,6.46,7.02,5.25,5.82,7.49,6.89,6.49,7.03,6.9,5.77,5.53,6.15,5.38,6.34,6.03,6.22,6.25,6.22,7.31,7.65,6.41,5.76,6.07,5.6,4.68,6.44,5.84,6.11,6.05,6.51,5.65,5.53,5.57,5.5,6.1,7.2,7.08,5.89,5.86,5.7,5.91,6.03,5.69
007,Polysaccharides,KULFFI-7,6.93,6.15,6.38,6.66,6.87,7.04,7.15,7.19,7.37,7.28,7.3,6.85,6.23,7.48,6.82,6.81,7.35,7.32,6.14,5.34,6.38,5.8,6.56,6.46,6.55,6.99,6.62,7.36,8.03,6.02,6.19,6.24,5.92,4.78,6.63,5.99,6.7,6.4,6.86,6.02,6.07,5.94,5.36,6.07,7.55,7.26,6.18,6.2,6.09,6.13,6.1,6.02
008,Polysaccharides,Resistant starch,6.07,6.28,5.62,6.22,6.91,6.81,6.91,7.03,7.56,7.4,6.51,5.29,5.57,7.65,6.27,6.46,6.87,7.22,5.25,5.03,5.42,5.71,6.14,6.31,6.83,6.99,6.2,6.83,7.33,6.16,5.96,5.88,5.32,4.45,6.08,5.96,5.94,6.06,6.35,5.43,5.29,5.7,5.47,5.83,6.62,7.04,5.6,6.12,5.84,6.07,6.33,5.44
009,Polysaccharides,KULFFI-9,5.91,5.82,5.67,5.49,7.01,6.02,6.95,6.66,7.15,6.63,7.12,5.68,5.51,7.35,6.76,6.56,6.88,7.24,5.32,4.91,5.39,4.93,6.04,5.77,5.88,5.76,5.76,7.02,7.35,6.11,5.84,5.74,5.55,4.4,6.15,5.52,5.99,6.02,6.52,5.37,5.54,5.43,5.12,4.79,7.06,6.88,6.38,5.92,5.48,5.65,6.18,5.43
010,Polysaccharides,KULFFI-10,6.92,6.62,6.4,6.57,7.06,6.98,7.08,7.16,7.26,7.01,7.41,6.31,6.03,7.47,6.74,6.56,7.21,6.99,5.46,5.45,6.16,5.97,6.61,6.32,6.43,6.5,6.45,7.29,7.76,6.34,5.69,6.42,5.85,4.73,6.41,6.11,6.1,6.07,6.52,5.93,5.95,5.7,5.31,5.95,7.43,7,5.89,5.93,5.86,5.86,6.04,6.05
